,ppg_time,ppg_sig
3854,19.27,-48.887475647869024
3855,19.275000000000002,-46.36317753864662
3856,19.28,-43.96467601654983
3857,19.285,-41.690832161832034
3858,19.29,-39.53866446219466
3859,19.295,-37.50351711851633
3860,19.3,-35.57923584200241
3861,19.305,-33.75833279088047
3862,19.31,-32.03213801380508
3863,19.315,-30.39095077321374
3864,19.32,-28.82421061998939
3865,19.325,-27.320701951362295
3866,19.330000000000002,-25.868792864359783
3867,19.335,-24.456698469856057
3868,19.34,-23.072754024116904
3869,19.345,-21.70568101533818
3870,19.35,-20.344826210303435
3871,19.355,-18.980351850392164
3872,19.36,-17.60336167585434
3873,19.365000000000002,-16.20596522646479
3874,19.37,-14.781303122035759
3875,19.375,-13.323564133065071
3876,19.38,-11.828014905353289
3877,19.385,-10.291043008830519
3878,19.39,-8.710196969560947
3879,19.395,-7.084202182943056
3880,19.400000000000002,-5.4129394771904105
3881,19.405,-3.69738745530073
3882,19.41,-1.939542976612576
3883,19.415,-0.14233995508645855
3884,19.42,1.690419001222626
3885,19.425,3.5541193758368985
3886,19.43,5.443397901592339
3887,19.435,7.352235880208338
3888,19.44,9.27409734961016
3889,19.445,11.202109408221505
3890,19.45,13.129267701242304
3891,19.455000000000002,15.048646538667667
3892,19.46,16.953599740314278
3893,19.465,18.837947557483908
3894,19.47,20.696148605827272
3895,19.475,22.523451378656763
3896,19.48,24.316013253828036
3897,19.485,26.070972874502843
3898,19.490000000000002,27.786464794992217
3899,19.495,29.461571266060773
3900,19.5,31.096218142336518
3901,19.505,32.69103966141981
3902,19.51,34.247244288252375
3903,19.515,35.76649826746299
3904,19.52,37.2508233324813
3905,19.525000000000002,38.702508691198396
3906,19.53,40.12405748960356
3907,19.535,41.51819081241052
3908,19.54,42.887910806024315
3909,19.545,44.23660524260974
3910,19.55,45.568176715385455
3911,19.555,46.887191017028336
3912,19.56,48.19904469332752
3913,19.565,49.510146895720354
3914,19.57,50.82810105452335
3915,19.575,52.16186244990684
3916,19.580000000000002,53.52183798796617
3917,19.585,54.919886622256264
3918,19.59,56.36918513436768
3919,19.595,57.88395137685946
3920,19.6,59.47904750896204
3921,19.605,61.16949369723856
3922,19.61,62.969911707655925
3923,19.615000000000002,64.89391412902567
3924,19.62,66.95346732382909
3925,19.625,69.15826616147041
3926,19.63,71.51514984669507
3927,19.635,74.02756682059415
3928,19.64,76.69508235115221
3929,19.645,79.51292566437922
3930,19.650000000000002,82.47158512573374
3931,19.655,85.55646939435148
3932,19.66,88.74766856886797
3933,19.665,92.01987758744446
3934,19.67,95.34255206497104
3935,19.675,98.68031952361362
3936,19.68,101.99359612264078
3937,19.685,105.23932953031037
3938,19.69,108.37181980307639
3939,19.695,111.34361274679995
3940,19.7,114.10646928468819
3941,19.705000000000002,116.61239291389347
3942,19.71,118.81467491046251
3943,19.715,120.66891130198104
3944,19.72,122.13394857835426
3945,19.725,123.17271264093664
3946,19.73,123.75287470500788
3947,19.735,123.84732715103111
3948,19.740000000000002,123.43447834791012
3949,19.745,122.49840259692867
3950,19.75,121.028883397266
3951,19.755,119.02137384534703
3952,19.76,116.47688524056338
3953,19.765,113.40181022829337
3954,19.77,109.80768052553229
3955,19.775000000000002,105.71084614451988
3956,19.78,101.13206021652734
3957,19.785,96.09597801559862
3958,19.79,90.63061156657726
3959,19.795,84.76678730709109
3960,19.8,78.53763510101174
3961,19.805,71.9781239467917
3962,19.81,65.12466114103846
3963,19.815,58.014766754153875
3964,19.82,50.68681700339401
3965,19.825,43.179833660361815
3966,19.830000000000002,35.533289166637594
3967,19.835,27.786893024322545
3968,19.84,19.98032857549642
3969,19.845,12.152931458415809
3970,19.85,4.343333427359384
3971,19.855,-3.4108870277240015
3972,19.86,-11.073513626443152
3973,19.865000000000002,-18.60994783200559
3974,19.87,-25.987414281629132
3975,19.875,-33.17512498612585
3976,19.88,-40.144409254226915
3977,19.885,-46.868812256832896
3978,19.89,-53.32416207201824
3979,19.895,-59.488604772332366
3980,19.900000000000002,-65.3426120538582
3981,19.905,-70.86897493007696
3982,19.91,-76.05280092879404
3983,19.915,-80.88152185684987
3984,19.92,-85.34489944773287
3985,19.925,-89.43500516234249
3986,19.93,-93.14616186027602
3987,19.935,-96.47486242108309
3988,19.94,-99.41969847596845
3989,19.945,-101.9813223138355
3990,19.95,-104.16243799691769
3991,19.955000000000002,-105.96780087067108
3992,19.96,-107.40420542046213
3993,19.965,-108.48044548585064
3994,19.97,-109.20723079107651
3995,19.975,-109.59704781335161
3996,19.98,-109.66396681915685
3997,19.985,-109.42341352606536
3998,19.990000000000002,-108.89193265943018
3999,19.995,-108.08696775330758
4000,20.0,-107.0266711850017
4001,20.005,-105.72974720631295
4002,20.01,-104.21532127712226
4003,20.015,-102.502821171953
4004,20.02,-100.61185151913467
4005,20.025000000000002,-98.562047635501
4006,20.03,-96.37290632126964
4007,20.035,-94.06360541536822
4008,20.04,-91.6528350423927
4009,20.045,-89.15866691561827
4010,20.05,-86.59847839397544
4011,20.055,-83.98892561190472
4012,20.06,-81.34593843453452
4013,20.065,-78.6847062020938
4014,20.07,-76.0196388066386
