timestamps_ecg,ecg,timestamps_ppg_1_green,ppg_1_green,timestamps_ppg_1_red,ppg_1_red,timestamps_ppg_1_ir,ppg_1_ir,timestamps_ppg_2_green,ppg_2_green,timestamps_ppg_2_red,ppg_2_red,timestamps_ppg_2_ir,ppg_2_ir
732622.0,9886.987341772152,734714.0,31351.237623762376,734714.0,2274601.415841584,734714.0,2544484.415841584,734701.0,27497.617647058825,734701.0,2532909.529411765,734701.0,2536537.088235294
732700.0,1338.8860759493673,734814.0,31348.118811881188,734814.0,2274596.198019802,734814.0,2544491.6831683167,734801.0,27497.62376237624,734801.0,2532926.3663366335,734801.0,2536595.415841584
732778.0,-2921.4177215189875,734914.0,31355.603960396038,734914.0,2274602.6534653464,734914.0,2544502.4554455443,734901.0,27488.529411764706,734901.0,2532960.0588235296,734901.0,2536657.0
732856.0,-2760.1012658227846,735014.0,31358.821782178216,735014.0,2274587.00990099,735014.0,2544497.3564356435,735001.0,27490.21568627451,735001.0,2533002.9215686275,735001.0,2536732.1764705884
732934.0,-1959.4,735114.0,31361.79207920792,735114.0,2274595.306930693,735114.0,2544502.584158416,735101.0,27505.274509803923,735101.0,2533017.68627451,735101.0,2536832.294117647
733012.0,-2432.9620253164558,735214.0,31382.257425742573,735214.0,2274597.8415841586,735214.0,2544514.9702970297,735201.0,27512.764705882353,735201.0,2533059.6470588236,735201.0,2536942.7647058824
733090.0,-3108.0,735314.0,31382.178217821784,735314.0,2274587.0693069305,735314.0,2544526.0198019804,735301.0,27528.049504950493,735301.0,2533114.0198019804,735301.0,2537055.6534653464
733168.0,-3147.0379746835442,735414.0,31407.227722772277,735414.0,2274600.415841584,735414.0,2544556.7326732674,735401.0,27541.676470588234,735401.0,2533155.1470588236,735401.0,2537164.1764705884
733246.0,-3003.6455696202534,735514.0,31409.10891089109,735514.0,2274621.6039603963,735514.0,2544564.4554455443,735501.0,27554.79411764706,735501.0,2533188.0392156863,735501.0,2537291.5392156863
733324.0,-2948.2025316455697,735614.0,31428.196078431374,735614.0,2274630.9803921566,735614.0,2544576.343137255,735601.0,27569.833333333332,735601.0,2533252.0,735601.0,2537415.0
733402.0,-2862.227848101266,735714.0,31431.0,735714.0,2274629.415841584,735714.0,2544587.4752475247,735701.0,27588.41176470588,735701.0,2533296.411764706,735701.0,2537562.5
733480.0,-2723.8987341772154,735814.0,31445.47524752475,735814.0,2274629.8514851485,735814.0,2544593.2574257427,735801.0,27615.029702970296,735801.0,2533358.7227722774,735801.0,2537711.405940594
733558.0,-2571.0,735914.0,31458.09900990099,735914.0,2274624.108910891,735914.0,2544588.108910891,735901.0,27624.235294117647,735901.0,2533416.411764706,735901.0,2537854.3529411764
733636.0,-2400.6455696202534,736014.0,31476.633663366338,736014.0,2274611.3564356435,736014.0,2544599.4752475247,736001.0,27642.274509803923,736001.0,2533463.6666666665,736001.0,2538007.882352941
733714.0,-2206.0506329113923,736114.0,31488.21782178218,736114.0,2274613.108910891,736114.0,2544614.326732673,736101.0,27654.86274509804,736101.0,2533529.31372549,736101.0,2538164.9803921566
733792.0,-2010.8101265822784,736214.0,31481.881188118812,736214.0,2274620.495049505,736214.0,2544620.2475247523,736201.0,27667.019801980197,736201.0,2533582.1386138615,736201.0,2538302.198019802
733870.0,-1832.2,736314.0,31485.61386138614,736314.0,2274631.623762376,736314.0,2544626.613861386,736301.0,27699.882352941175,736301.0,2533618.843137255,736301.0,2538437.882352941
733948.0,-1679.7088607594937,736414.0,31493.336633663366,736414.0,2274626.871287129,736414.0,2544626.415841584,736401.0,27717.08823529412,736401.0,2533675.7352941176,736401.0,2538555.294117647
734026.0,-1560.240506329114,736514.0,31502.039603960395,736514.0,2274632.0396039602,736514.0,2544624.4356435644,736501.0,27720.176470588234,736501.0,2533733.4901960786,736501.0,2538665.029411765
734104.0,-1453.7088607594937,736614.0,31495.50495049505,736614.0,2274644.8118811883,736614.0,2544627.8613861385,736601.0,27737.823529411766,736601.0,2533782.5098039214,736601.0,2538767.970588235
734182.0,-1352.113924050633,736714.0,31506.72277227723,736714.0,2274638.8514851485,736714.0,2544638.910891089,736701.0,27743.823529411766,736701.0,2533826.6764705884,736701.0,2538843.7352941176
734260.0,-1243.2784810126582,736814.0,31515.470588235294,736814.0,2274633.7647058824,736814.0,2544644.9803921566,736801.0,27757.445544554455,736801.0,2533854.891089109,736801.0,2538905.5445544557
734338.0,-1103.4050632911392,736914.0,31515.534653465347,736914.0,2274626.405940594,736914.0,2544635.7425742573,736901.0,27774.941176470587,736901.0,2533866.3529411764,736901.0,2538938.117647059
734416.0,-957.0253164556962,737014.0,31514.27722772277,737014.0,2274626.168316832,737014.0,2544628.386138614,737001.0,27771.392156862745,737001.0,2533864.2352941176,737001.0,2538947.3725490198
734494.0,-823.7341772151899,737114.0,31518.27722772277,737114.0,2274631.2772277226,737114.0,2544647.673267327,737101.0,27782.725490196077,737101.0,2533845.0588235296,737101.0,2538941.68627451
734572.0,-674.2911392405064,737214.0,31528.435643564357,737214.0,2274640.7326732674,737214.0,2544646.1584158414,737201.0,27779.58823529412,737201.0,2533800.6470588236,737201.0,2538890.705882353
734650.0,-477.3544303797469,737314.0,31543.78217821782,737314.0,2274650.9306930695,737314.0,2544651.00990099,737301.0,27788.58415841584,737301.0,2533760.1485148515,737301.0,2538827.3663366335
734728.0,-250.8354430379747,737414.0,31545.58415841584,737414.0,2274657.415841584,737414.0,2544654.3168316833,737401.0,27812.176470588234,737401.0,2533729.411764706,737401.0,2538755.882352941
734806.0,-66.07499999999999,737514.0,31560.831683168315,737514.0,2274646.207920792,737514.0,2544679.584158416,737501.0,27817.666666666668,737501.0,2533705.8333333335,737501.0,2538669.1666666665
