,ecg_time,ecg_sig
14956,74.78,1400.3307625288382
14957,74.785,1484.8280948262209
14958,74.79,1525.4164599662834
14959,74.795,1509.1498669355487
14960,74.8,1426.2883886679454
14961,74.805,1273.8237536099803
14962,74.81,1058.1329361553162
14963,74.815,794.827688471464
14964,74.82000000000001,505.32388879663574
14965,74.825,211.6592736789853
14966,74.83,-68.30589996042778
14967,74.83500000000001,-323.86865534112985
14968,74.84,-551.6073678676437
14969,74.845,-752.0166001353856
14970,74.85000000000001,-924.1686338124284
14971,74.855,-1062.5666914796489
14972,74.86,-1159.486030684056
14973,74.865,-1211.217497193336
14974,74.87,-1222.7819859930037
14975,74.875,-1206.9753527405533
14976,74.88,-1178.2226496376272
14977,74.885,-1145.3983270479614
14978,74.89,-1108.533839545588
14979,74.895,-1062.132468865631
14980,74.9,-1003.2517735695285
14981,74.905,-938.2019175823359
14982,74.91,-881.7633402129035
14983,74.915,-848.3870756742746
14984,74.92,-841.5564269164638
14985,74.925,-849.5881270343955
14986,74.93,-851.9654244317319
14987,74.935,-832.7028721551214
14988,74.94,-791.2597362510969
14989,74.94500000000001,-742.4512288326101
14990,74.95,-705.7031535164467
14991,74.955,-693.1566642203678
14992,74.96000000000001,-705.705806715915
14993,74.965,-736.9794140962408
14994,74.97,-778.6494314887774
14995,74.97500000000001,-822.6184673425892
14996,74.98,-861.1730857738839
14997,74.985,-887.5917960720085
14998,74.99,-897.4340773989447
14999,74.995,-889.5487160194357
15000,75.0,-866.3762400311465
15001,75.005,-833.1313700485937
15002,75.01,-795.5684904830126
15003,75.015,-757.7292716539673
15004,75.02,-721.9549458670144
15005,75.025,-690.9808312279343
15006,75.03,-668.9014290711074
15007,75.035,-658.6860769889174
15008,75.04,-658.1829650021398
15009,75.045,-659.1791819442064
15010,75.05,-651.7993124874132
15011,75.055,-631.3539422671798
15012,75.06,-601.8593040455117
15013,75.065,-572.9925290984316
15014,75.07000000000001,-553.0431727620597
15015,75.075,-543.6968858170596
15016,75.08,-539.9449702791758
15017,75.08500000000001,-533.5126754687159
15018,75.09,-516.9095831663928
15019,75.095,-487.43595445535317
15020,75.10000000000001,-450.5507665007091
15021,75.105,-419.0209857871637
15022,75.11,-404.9313710910592
15023,75.115,-408.53587821763006
15024,75.12,-412.791806361964
15025,75.125,-388.0912679733916
15026,75.13,-303.8233451991862
15027,75.135,-141.21593420117298
15028,75.14,96.04496899431837
15029,75.145,377.66447004430216
15030,75.15,654.8877511188067
15031,75.155,881.0174785631525
15032,75.16,1032.8126895480234
15033,75.165,1116.8674807134043
15034,75.17,1155.3096737780324
15035,75.175,1161.7469661682924
15036,75.18,1126.4963039544289
15037,75.185,1023.1125003745168
15038,75.19,831.8458552977262
15039,75.19500000000001,562.4194184448877
15040,75.2,258.5145718648964
15041,75.205,-20.54662985970573
15042,75.21000000000001,-229.55540947332898
15043,75.215,-359.8863299019899
15044,75.22,-440.72594791703386
15045,75.22500000000001,-517.9416844103549
15046,75.23,-623.364621387568
15047,75.235,-754.5436732395075
15048,75.24,-879.5449544901854
15049,75.245,-963.9590533582715
15050,75.25,-999.1762742743085
15051,75.255,-1007.5326441166521
15052,75.26,-1017.2595959688185
15053,75.265,-1026.9752582544877
15054,75.27,-993.6008414536504
15055,75.275,-864.7124674659951
15056,75.28,-643.1399446418077
15057,75.285,-439.069234211523
15058,75.29,-452.27833283998575
15059,75.295,-848.8565744149987
15060,75.3,-1562.5030087247662
15061,75.305,-2141.508740159918
15062,75.31,-1807.3075771409622
15063,75.315,194.5390852620747
15064,75.32000000000001,4078.748183405302
15065,75.325,9157.18509535107
15066,75.33,13934.432123980721
15067,75.33500000000001,16711.689793028334
15068,75.34,16405.40335225104
15069,75.345,13108.083245361135
15070,75.35000000000001,8048.838259156408
15071,75.355,2972.8218650109534
15072,75.36,-692.0788637336675
15073,75.365,-2408.523499978605
15074,75.37,-2565.1050939615
15075,75.375,-2040.4530996591943
15076,75.38,-1624.3915570942165
15077,75.385,-1650.9179781321295
15078,75.39,-2001.312091159721
15079,75.395,-2370.6102381229707
15080,75.4,-2546.6721661453985
15081,75.405,-2514.153653226686
15082,75.41,-2379.513530453907
15083,75.415,-2244.7878628460385
15084,75.42,-2145.046855132752
15085,75.425,-2065.221947491552
15086,75.43,-1982.5716613468185
15087,75.435,-1888.7043746213353
15088,75.44,-1787.5387605032631
15089,75.44500000000001,-1687.1594399669493
15090,75.45,-1595.6277144242317
15091,75.455,-1518.76437520606
15092,75.46000000000001,-1457.502774795478
15093,75.465,-1406.8811768181097
15094,75.47,-1358.4184062868308
15095,75.47500000000001,-1304.1756432484788
15096,75.48,-1239.9629779089353
15097,75.485,-1166.5605700056005
15098,75.49,-1088.4237278213584
15099,75.495,-1009.9409723165065
15100,75.5,-931.4912631508661
15101,75.505,-848.6662544171055
15102,75.51,-755.4381971840658
15103,75.515,-648.5928934134265
15104,75.52,-530.4876399976858
15105,75.525,-409.0168630641283
15106,75.53,-294.41588797464453
15107,75.535,-193.28436174050995
15108,75.54,-103.11558953629611
15109,75.545,-12.40153311531548
15110,75.55,92.43230228841512
15111,75.555,218.28727519787682
15112,75.56,361.293976604697
15113,75.565,509.5704145279711
15114,75.57000000000001,650.5197785413408
15115,75.575,778.3316970454599
15116,75.58,897.1173239101502
15117,75.58500000000001,1017.1097304913023
15118,75.59,1145.8267375606056
15119,75.595,1279.5109015001863
15120,75.60000000000001,1399.333398979664
15121,75.605,1474.0247578358842
15122,75.61,1469.0467346472908
15123,75.615,1360.401561773128
